frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,22,person,0.532,717,689,748,781,733,781,1280,720,true,down,14.7
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.514,487,601,614,900,550,900,1280,720,true,down,60.9
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,20,person,0.419,1876,644,1919,947,1898,947,1280,720,true,down,64.9
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,26,person,0.383,694,691,722,780,708,780,1280,720,true,down,0.0
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.926,1336,404,1630,825,1483,825,1280,720,true,down,3.6
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,27,truck,0.887,185,519,497,861,341,861,1280,720,true,down,0.0
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.854,881,683,1131,845,1006,845,1280,720,true,down,21.1
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.852,1765,605,1872,886,1819,886,1280,720,true,down,11.4
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.753,1663,599,1783,773,1723,773,1280,720,true,down,10.2
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,21,motorcycle,0.735,381,659,601,989,491,989,1280,720,true,down,58.2
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.711,1185,663,1334,797,1260,797,1280,720,true,down,7.2
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.652,776,684,889,787,832,787,1280,720,true,down,14.9
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.534,440,600,598,906,519,906,1280,720,true,down,114.0
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,18,person,0.491,752,681,786,784,769,784,1280,720,true,down,20.0
24,6.235,Dakar - Scène 1,group_01,traffic.mp4,24,person,0.461,660,685,691,782,675,782,1280,720,true,down,8.1
